Book Title,ISBN,Amazon URL,GoodReads Description,Wikipedia Description,Readgeek Description,Riffle Description,Amazon Description
The Hunchback of Notre-Dame,9780451527882,https://www.goodreads.com/buy_buttons/12/follow?book_id=30597&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"This extraordinary historical novel, set in Medieval Paris under the twin towers of its greatest structure and supreme symbol, the cathedral of Notre-Dame, is the haunting drama of Quasimodo, the hunchback; Esmeralda, the gypsy dancer; and Claude Frollo, the priest tortured by the specter of his own damnation. Shaped by a profound sense of tragic irony, it is a work that gives full play to Victor Hugo's brilliant historical imagination and his remarkable powers of description.","The Hunchback of Notre-Dame (French: Notre-Dame de Paris, ""Our Lady of Paris"") is a French Romantic/Gothic novel by Victor Hugo, published in 1831. The original French title refers to Notre Dame Cathedral, on which the story is centered. Frederic Shoberl's 1833 English translation was published as The Hunchback of Notre Dame which became the generally used title in English. The story is set in Paris in the Late Middle Ages, during the reign of Louis XI.","One of the first great novels of the Romantic era, Victor Hugo’s The Hunchback of Notre Dame has thrilled generations of readers with its powerfully melodramatic story of Quasimodo, the deformed hunchback who lives in the bell tower of medieval Paris’s most famous cathedral.
Feared and hated by all, Quasimodo is looked after by Dom Claude Frollo, a stern, cold priest who ignores the poor hunchback in the face of his frequent public torture. But someone steps forward to help—the beautiful gypsy Esmeralda, whose single act of kindness fills Quasimodo with love. Can the hunchback save the lovely gypsy from Frollo’s evil plan, or will they all perish in the shadows of Notre Dame?
An epic tale of beauty and sadness, The Hunchback of Notre Dame portrays the sufferings of humanity with compassion and power.","In the famed novel set against the backdrop of medieval Paris, Quasimodo, the hunchbacked bellringer of Notre-Dame Cathedral, struggles to save the beautiful gypsy dancer Esmeralda from being unjustly executed. Reissue.","In the famed novel set against the backdrop of medieval Paris, Quasimodo, the hunchbacked bellringer of Notre-Dame Cathedral, struggles to save the beautiful gypsy dancer Esmeralda from being unjustly executed. Reissue."
The Fall of the House of Usher,9781594561795,https://www.goodreads.com/buy_buttons/12/follow?book_id=175516&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Dive into this classic from the singular mind of Edgar Allan Poe, who is widely regarded as the master of short horror fiction. ""The Fall of the House of Usher"" recounts the terrible events that befall the last remaining members of the once-illustrious Usher clan before it is -- quite literally -- rent asunder. With amazing economy, Poe plunges the reader into a state of deliciously agonizing suspense. It's a must-read for fans of the golden era of horror writing.","""The Fall of the House of Usher"" is a short story by American writer Edgar Allan Poe, first published in 1839.",,,
The Little Mermaid,9780698400016,https://www.goodreads.com/buy_buttons/12/follow?book_id=132391&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Once there was a little mermaid who fell in love with a human boy . . . The story may be familiar, but Lisbeth Zwerger's art makes this fairytale seem brand-new. This Jubilee edition, celebrating 200 years of Hans Christian Andersen, is superbly illustrated in Zwerger's signature style. Known for her popular and award-winning editions of classics such as The Wizard of Oz and Alice in Wonderland, Zwerger is herself the recipient of the Hans Christian Andersen Medal for lasting contributions to children's literature. The Little Mermaid is sure to win her new fans, and to delight her old ones.  The text is an all-new translation by Anthea Bell, and includes many lovely and poignant details that may be new to even those who think they know the little mermaid's story well.","""The Little Mermaid"" (Danish: Den lille havfrue) is a fairy tale written by the Danish author Hans Christian Andersen about a young mermaid who is willing to give up her life in the sea and her identity as a mermaid to gain a human soul.",,"Once there was a little mermaid who fell in love with a human boy . . . The story may be familiar, but Lisbeth Zwerger's art makes this fairytale seem brand-new. This Jubilee edition, celebrating 200 years of Hans Christian Andersen, is superbly illustrated in Zwerger's signature style. Known for her popular and award-winning editions of classics such as The Wizard of Oz and Alice in Wonderland, Zwerger is herself the recipient of the Hans Christian Andersen Medal for lasting contributions to children's literature. The Little Mermaid is sure to win her new fans, and to delight her old ones.   The text is an all-new translation by Anthea Bell, and includes many lovely and poignant details that may be new to even those who think they know the little mermaid's story well.","Once there was a little mermaid who fell in love with a human boy . . . The story may be familiar, but Lisbeth Zwerger's art makes this fairytale seem brand-new. This Jubilee edition, celebrating 200 years of Hans Christian Andersen, is superbly illustrated in Zwerger's signature style. Known for her popular and award-winning editions of classics such as The Wizard of Oz and Alice in Wonderland, Zwerger is herself the recipient of the Hans Christian Andersen Medal for lasting contributions to children's literature. The Little Mermaid is sure to win her new fans, and to delight her old ones.
The text is an all-new translation by Anthea Bell, and includes many lovely and poignant details that may be new to even those who think they know the little mermaid's story well."
The Red and the Black,9780140447644,https://www.goodreads.com/buy_buttons/7/follow?book_id=14662,"Handsome, ambitious Julien Sorel is determined to rise above his humble provincial origins. Soon realizing that success can only be achieved by adopting the subtle code of hypocrisy by which society operates, he begins to achieve advancement through deceit and self-interest. His triumphant career takes him into the heart of glamorous Parisian society, along the way conquering the gentle, married Madame de RÃªnal, and the haughty Mathilde. But then Julien commits an unexpected, devastating crime - and brings about his own downfall. The Red and the Black is a lively, satirical portrayal of French society after Waterloo, riddled with corruption, greed and ennui, and Julien - the cold exploiter whose Machiavellian campaign is undercut by his own emotions - is one of the most intriguing characters in European literature.","Le Rouge et le Noir (French pronunciation: ​[lə ʁuʒ e lə nwaʁ], French for The Red and the Black), is a historical psychological novel in two volumes by Stendhal, published in 1830.[1] It chronicles the attempts of a provincial young man to rise socially beyond his modest upbringing through a combination of talent, hard work, deception, and hypocrisy. He ultimately allows his passions to betray him.","Charts the rise and fall of an ambitious young social climber in a cruel, monarchical societyHandsome, ambitious Julien Sorel is determined to rise above his humble provincial origins. Soon realizing that success can only be achieved by adopting the subtle code of hypocrisy by which society operates, he begins to achieve advancement through deceit and self-interest. His triumphant career takes him into the heart of glamorous Parisian society, along the way conquering the gentle, married Madame de Rênal, and the haughty Mathilde. But then Julien commits an unexpected, devastating crime—and brings about his own downfall. The Red and the Black is a lively, satirical portrayal of French society after Waterloo, riddled with corruption, greed and ennui, and Julien—the cold exploiter whose Machiavellian campaign is undercut by his own emotions—is one of the most intriguing characters in European literature.  Roger Gard's fine translation remains faithful to the natural, conversational tone of the original, while his introduction elucidates the complexities of Julien's character. This edition also contains a chronology, further reading and an appendix on Stendhal's use of epigraphs.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Charts the rise and fall of an ambitious young social climber in a cruel, monarchical society  Handsome, ambitious Julien Sorel is determined to rise above his humble provincial origins. Soon realizing that success can only be achieved by adopting the subtle code of hypocrisy by which society operates, he begins to achieve advancement through deceit and self-interest. His triumphant career takes him into the heart of glamorous Parisian society, along the way conquering the gentle, married Madame de Rênal, and the haughty Mathilde. But then Julien commits an unexpected, devastating crime—and brings about his own downfall. The Red and the Black is a lively, satirical portrayal of French society after Waterloo, riddled with corruption, greed and ennui, and Julien—the cold exploiter whose Machiavellian campaign is undercut by his own emotions—is one of the most intriguing characters in European literature.    Roger Gard's fine translation remains faithful to the natural, conversational tone of the original, while his introduction elucidates the complexities of Julien's character. This edition also contains a chronology, further reading and an appendix on Stendhal's use of epigraphs.  For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",
The Pickwick Papers,9780140436112,https://www.goodreads.com/buy_buttons/6/follow?book_id=229432,"Few first novels have created as much popular excitement as The Pickwick Papersâ-a comic masterpiece that catapulted its 24-year-old author to immediate fame. Readers were captivated by the adventures of the poet Snodgrass, the lover Tupman, the sportsman Winkle &, above all, by that quintessentially English Quixote, Mr Pickwick, & his cockney Sancho Panza, Sam Weller. From the hallowed turf of Dingley Dell Cricket Club to the unholy fracas of the Eatanswill election, via the Fleet debtorâs prison, characters & incidents sprang to life from Dickensâs pen, to form an enduringly popular work of ebullient humour & literary invention.","The Posthumous Papers of the Pickwick Club (also known as The Pickwick Papers) was Charles Dickens's first novel. He was asked to contribute to the project as an up-and-coming writer following the success of Sketches by Boz, published in 1836 (most of Dickens' novels were issued in shilling instalments before being published as complete volumes). Dickens (still writing under the pseudonym of Boz) increasingly took over the unsuccessful monthly publication after the original illustrator Robert Seymour had committed suicide.","'One of my life's greatest tragedies is to have already read Pickwick Papers - I can't go back and read it for the first time' Fernando PessoaFew first novels have created as much popular excitement as The Pickwick Papers - a comic masterpiece that catapulted its twenty-four-year-old author to immediate fame. Readers were captivated by the adventures of the poet Snodgrass, the lover Tupman, the sportsman Winkle and, above all, by that quintessentially English Quixote, Mr Pickwick, and his cockney Sancho Panza, Sam Weller. From the hallowed turf of Dingley Dell Cricket Club to the unholy fracas of the Eatanswill election, via the Fleet debtors' prison, characters and incidents spring to life from Dickens's pen, to form an enduringly popular work of ebullient humour and literary invention. This edition is based on the first volume edition of 1837, and includes the original illustrations. In his introduction, Mark Wormald discusses the genesis of The Pickwick Papers and the emergence of its central characters. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","'One of my life's greatest tragedies is to have already read Pickwick Papers - I can't go back and read it for the first time' Fernando Pessoa  Few first novels have created as much popular excitement as The Pickwick Papers - a comic masterpiece that catapulted its twenty-four-year-old author to immediate fame. Readers were captivated by the adventures of the poet Snodgrass, the lover Tupman, the sportsman Winkle and, above all, by that quintessentially English Quixote, Mr Pickwick, and his cockney Sancho Panza, Sam Weller. From the hallowed turf of Dingley Dell Cricket Club to the unholy fracas of the Eatanswill election, via the Fleet debtors' prison, characters and incidents spring to life from Dickens's pen, to form an enduringly popular work of ebullient humour and literary invention. This edition is based on the first volume edition of 1837, and includes the original illustrations. In his introduction, Mark Wormald discusses the genesis of The Pickwick Papers and the emergence of its central characters.   For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",
PÃ¨re Goriot,9780393971668,https://www.goodreads.com/buy_buttons/12/follow?book_id=59145&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"'Pere Goriot' is the tragic story of a father whose obsessive love for his two daughters leads to his financial and personal ruin. Interwoven with this theme is that of the impoverished young aristocrat, Rastignac, come to Paris from the provinces to make his fortune, who befriends Goriot and becomes involved with the daughters. The story is set against the background of a whole society driven by social ambition and lust for money.'","Le Père Goriot (French pronunciation: ​[lə pɛʁ ɡɔʁjo], Old Goriot or Father Goriot) is an 1835 novel by French novelist and playwright Honoré de Balzac (1799–1850), included in the Scènes de la vie privée section of his novel sequence La Comédie humaine. Set in Paris in 1819, it follows the intertwined lives of three characters: the elderly doting Goriot; a mysterious criminal-in-hiding named Vautrin; and a naive law student named Eugène de Rastignac.","Honoré de Balzac’s great theme was money, and in his best-loved novel, Old Goriot, he explored its uses and abuses with the particularity of a poet. A shabby Parisian boarding house in 1819 is the setting where his colorful characters collide. These include an elderly retired merchant called Old Goriot, who has bankrupted himself for the sake of his two rapacious, social-climbing daughters, Delphine and Anastasie; a mysterious and sinister conspirator named Vautrin; Victorine, a disinherited heiress; and a naive and impoverished law student from the country, Eugène de Rastignac. Rastignac is appalled at first by the greed and corruption he finds in Paris, but he soon sets his sights on conquering high society. He joins forces with the array of schemers who surround him, while the suffering, self-sacrificing Goriot yearns in vain for his daughters’ love. The sprawling, vibrant, and turbulent Paris of the post-Napoleonic era is itself a major character in the novel, an emblem of the social upheaval that Balzac portrays so brilliantly. Old Goriot was the first of Balzac’s novels to employ his famous technique of recurring characters, and it has come to be seen as the keystone in his grand project, The Human Comedy.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","The text is that of Burton Raffell’s acclaimed 1994 translation.  The text is accompanied by an introduction, textual annotations by the editor, and a map of Paris.   ""Responses: Contemporaries and Other Novelists"" illustrates Balzac’s immense influence on other writers, among them Charles Baudelaire, Hippolyte Taine, Émile Zola, and Marcel Proust.   ""Twentieth-Century Criticism"" presents a superb selection of critical writing about the novel.   The critics include Ernst Robert Curtius, Albert Béguin, Erich Auerback, Georges Poulet, Michel Butor, Louis Chevalier, Pierre Barbéris, Peter Brooks, Sandy Petrey, Nicole Mozet, and Janet L. Beizer.","The text is that of Burton Raffell’s acclaimed 1994 translation.
The text is accompanied by an introduction, textual annotations by the editor, and a map of Paris.

""Responses: Contemporaries and Other Novelists"" illustrates Balzac’s immense influence on other writers, among them Charles Baudelaire, Hippolyte Taine, Émile Zola, and Marcel Proust.

""Twentieth-Century Criticism"" presents a superb selection of critical writing about the novel.

The critics include Ernst Robert Curtius, Albert Béguin, Erich Auerback, Georges Poulet, Michel Butor, Louis Chevalier, Pierre Barbéris, Peter Brooks, Sandy Petrey, Nicole Mozet, and Janet L. Beizer."
Eugene Onegin,9780192838995,https://www.goodreads.com/buy_buttons/12/follow?book_id=27822&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in imperial Russia during the 1820s, Pushkin's novel in verse follows the emotions and destiny of three men - Onegin the bored fop, Lensky the minor elegiast, and a stylized Pushkin himself - and the fates and affections of three women - Tatyana the provincial beauty, her sister Olga, and Pushkin's mercurial Muse. Engaging, full of suspense, and varied in tone, it also portrays a large cast of other characters and offers the reader many literary, philosophical, and autobiographical digressions, often in a highly satirical vein. Eugene Onegin was Pushkin's own favourite work, and it shows him attempting to transform himself from romantic poet into realistic novelist. This new translation seeks to retain both the literal sense and the poetic music of the original, and capture the poem's spontaneity and wit. The introduction examines several ways of reading the novel, and the text is richly annotated.","Eugene Onegin (Russian: «Евгений Онегин», tr. Yevgéniy Onégin, IPA: [jɪvˈɡʲenʲɪj ɐˈnʲeɡʲɪn]) is a novel in verse written by Alexander Pushkin.","Eugene Onegin is a novel in verse written by Alexander Pushkin.
It is a classic of Russian literature, and its eponymous protagonist has served as the model for a number of Russian literary heroes. It was published in serial form between 1825 and 1832. The first complete edition was published in 1833, and the currently accepted version is based on the 1837 publication.
Almost the entire work is made up of 389 stanzas of iambic tetrameter with the unusual rhyme scheme ""AbAbCCddEffEgg"", where the uppercase letters represent feminine rhymes while the lowercase letters represent masculine rhymes. This form has come to be known as the ""Onegin stanza"" or the ""Pushkin sonnet.""
The rhythm, innovative rhyme scheme, the natural tone and diction, and the economical transparency of presentation all demonstrate the virtuosity which has been instrumental in proclaiming Pushkin as the undisputed master of Russian poetry.
The story is told by a narrator, whose tone is educated, worldly, and intimate. The narrator digresses at times, usually to expand on aspects of this social and intellectual world.","Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in 1820s Russia, Pushkin's verse novel follows the fates of three men and three women. Engaging, full of suspense, and varied in tone, it also portrays a large cast of other characters and offers the reader many literary, philosophical, and autobiographical digressions, often in a highly satirical vein. Eugene Onegin was Pushkin's own favourite work, and this new translation conveys the literal sense and the poetic music of the original.","Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in 1820s Russia, Pushkin's verse novel follows the fates of three men and three women. Engaging, full of suspense, and varied in tone, it also portrays a large cast of other characters and offers the reader many literary, philosophical, and autobiographical digressions, often in a highly satirical vein. Eugene Onegin was Pushkin's own favourite work, and this new translation conveys the literal sense and the poetic music of the original."
The Charterhouse of Parma,9780679783183,https://www.goodreads.com/buy_buttons/12/follow?book_id=14680&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Richard Howard's exuberant and definitive rendition of Stendhal's stirring tale has brought about the rediscovery of this classic by modern readers. Stendhal narrates a young aristocrat's adventures in Napoleon's army and in the court of Parma, illuminating in the process the whole cloth of European history. As Balzac wrote, ""Never before have the hearts of princes, ministers, courtiers, and women been depicted like this...one sees perfection in every detail.""With beautiful illustrations by Robert Andrew Parker.","The Charterhouse of Parma (French: La Chartreuse de Parme) is a novel by Stendhal published in 1839.[1] Telling the story of an Italian nobleman in the Napoleonic era and later, it was admired by Balzac, Tolstoy, André Gide and Henry James. It was inspired by an inauthentic Italian account of the dissolute youth of Alessandro Farnese.[2] The novel has been adapted for opera, film and television.","Officer, diplomat, spy, journalist, and intermittent genius, Marie Henri Beyle employed more than 200 aliases in the course of his crowded career. His most famous moniker, however, was Stendhal, which he affixed to his greatest work, The Charterhouse of Parma. The author spent a mere seven weeks cranking out this marvel in 1838, setting the fictional equivalent of a land-speed record. To be honest, there are occasional signs of haste, during which he clearly bypassed le mot juste in favor of narrative zing. So what? Stendhal at his sloppiest is still wittier, and wiser about human behavior, than just about any writer you could name. No wonder so meticulous a stylist as Paul Valéry was happy to forgive his sins against French grammar: ""We should never be finished with Stendhal. I can think of no greater praise than that."" The plot of The Charterhouse of Parma suggests a run-of-the-mill potboiler, complete with court intrigue, military derring-do, and more romance than you can shake a saber at. But Stendhal had an amazing, pre-Freudian grasp of psychology (at least the Gallic variant). More than most of his contemporaries, he understood the incessant jostling of love, sex, fear, and ambition, not to mention our endless capacity for self-deception. No wonder his hero, Fabrizio de Dongo, seems to know everything and nothing about himself. Even under fire at the Battle of Waterloo, the young Fabrizio has a tendency to lose himself in Napoleonic reverie: Suddenly everyone galloped off. A few moments later Fabrizio saw, twenty paces ahead, a ploughed field that seemed to be strangely in motion; the furrows were filled with water, and the wet ground that formed their crests was exploding into tiny black fragments flung three or four feet into the air. Fabrizio noticed this odd effect as he passed; then his mind returned to daydreams of the Marshal's glory. He heard a sharp cry beside him: two hussars had fallen, riddled by bullets; and when he turned to look at them, they were already twenty paces behind the escort. The quote above, a famous one, captures something of Stendhal's headlong style. Until now, most English-speaking readers have experienced it via C.K. Scott-Moncrieff's superb 1925 translation. But now Richard Howard has modernized his predecessor's period touches, streamlined some of the fussier locutions, and generally given Stendhal his high-velocity due. The result is a timely version of a timeless masterpiece, which shouldn't need to be updated again until, oh, 2050. Crammed with life, lust, and verbal fireworks, The Charterhouse of Parma demonstrates the real truth of its creator's self-composed epitaph: ""He lived. He wrote. He loved."" --James Marcus","Richard Howard's exuberant and definitive rendition of Stendhal's stirring tale has brought about the rediscovery of this classic by modern readers. Stendhal narrates a young aristocrat's adventures in Napoleon's army and in the court of Parma, illuminating in the process the whole cloth of European history. As Balzac wrote, ""Never before have the hearts of princes, ministers, courtiers, and women been depicted like this...one sees perfection in every detail.""  With beautiful illustrations by Robert Andrew Parker.","Richard Howard's exuberant and definitive rendition of Stendhal's stirring tale has brought about the rediscovery of this classic by modern readers. Stendhal narrates a young aristocrat's adventures in Napoleon's army and in the court of Parma, illuminating in the process the whole cloth of European history. As Balzac wrote, ""Never before have the hearts of princes, ministers, courtiers, and women been depicted like this...one sees perfection in every detail.""

With beautiful illustrations by Robert Andrew Parker."
Frankenstein,9781853260230,https://www.goodreads.com/buy_buttons/15/follow?book_id=801675&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"Begun when the author was only eighteen and conceived from a nightmare, Frankenstein is the deeply disturbing story of a monstrous creation which has terrified and chilled readers since its first publication in 1818. The novel has thus seared its way into the popular imagination while establishing itself as one of the pioneering works of modern science fiction.","Frankenstein; or, The Modern Prometheus is a novel written by English author Mary Shelley (1797–1851) that tells the story of Victor Frankenstein, a young scientist who creates a grotesque but sapient creature in an unorthodox scientific experiment. Shelley started writing the story when she was 18, and the first edition of the novel was published anonymously in London on 1 January 1818, when she was 20.[1] Her name first appeared on the second edition, published in France in 1823.","The world’s most famous work of horror fiction: a devastating exploration of the limits of human creativityMary Shelley's timeless gothic novel presents the epic battle between man and monster at its greatest literary pitch. In trying to create life, the young student Victor Frankenstein unleashes forces beyond his control, setting into motion a long and tragic chain of events that brings Victor to the very brink of madness. How he tries to destroy his creation, as it destroys everything Victor loves, is a powerful story of love, friendship, scientific hubris, and horror. Based on the third edition of 1831, this Penguin Classics edition, with an introduction and notes by Maurice Hindle, contains all the revisions Mary Shelley made to her story, as well as her 1831 introduction and Percy Bysshe Shelley’s preface to the first edition. It also includes as appendices a select collation of the texts of 1818 and 1831 together with ""A Fragment"" by Lord Byron and Dr John Polidori’s ""The Vampyre: A Tale.""For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","With an Introduction and Notes by Dr Siv Jansson, University of Greenwich Begun when the author was only eighteen and conceived from a nightmare, Frankenstein, is the deeply disturbing story of a monstrous creation which has terrified and chilled readers since its first publication in 1818. The novel has thus seared its way into the popular imagination while establishing itself as one of the pioneering works of modern science fiction.","With an Introduction and Notes by Dr Siv Jansson, University of Greenwich Begun when the author was only eighteen and conceived from a nightmare, Frankenstein, is the deeply disturbing story of a monstrous creation which has terrified and chilled readers since its first publication in 1818. The novel has thus seared its way into the popular imagination while establishing itself as one of the pioneering works of modern science fiction."
The Queen of Spades and Other Stories,9780192839541,https://www.goodreads.com/buy_buttons/12/follow?book_id=97381&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"This volume contains new translations of four of Pushkin's best works of fiction. The Queen of Spades has long been acknowledged as one of the world's greatest short stories, in which Pushkin explores the nature of obsession. The Tales of Belkin are witty parodies of sentimentalism, while Peter the Great's Blackamoor is an early experiment with recreating the past. The Captain's Daughter is a novel-length masterpiece which combines historical fiction in the manner of Sir Walter Scott with the devices of the Russian fairy-tale. The Introduction provides close readings of the stories and places them in their European literary context.",The Queen of Spades (Russian: «Пиковая дама»; translit. Pikovaya dama) is a short story with supernatural elements by Alexander Pushkin about human avarice. Pushkin wrote the story in autumn 1833 in Boldino[1] and it was first published in the literary magazine Biblioteka dlya chteniya in March 1834.[2],,"This volume contains new translations of four of Pushkin's best works of fiction. The Queen of Spades has long been acknowledged as one of the world's greatest short stories, in which Pushkin explores the nature of obsession. The Tales of Belkin are witty parodies of sentimentalism, while Peter the Great's Blackamoor is an early experiment with recreating the past. The Captain's Daughter is a novel-length masterpiece which combines historical fiction in the manner of Sir Walter Scott with the devices of the Russian fairy-tale. The Introduction provides close readings of the stories and places them in their European literary context.","This volume contains new translations of four of Pushkin's best works of fiction. The Queen of Spades has long been acknowledged as one of the world's greatest short stories, in which Pushkin explores the nature of obsession. The Tales of Belkin are witty parodies of sentimentalism, while Peter the Great's Blackamoor is an early experiment with recreating the past. The Captain's Daughter is a novel-length masterpiece which combines historical fiction in the manner of Sir Walter Scott with the devices of the Russian fairy-tale. The Introduction provides close readings of the stories and places them in their European literary context."
The Lady of Shalott,9780192723710,https://www.goodreads.com/buy_buttons/12/follow?book_id=724371&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"The Lady of Shalott is the third book in Visions in Poetry, an award-winning series of classic poems illustrated by outstanding contemporary artists in stunning hardcover editions. Tennyson's beautiful and enigmatic poem of unrequited love, set in Arthurian England, has enthralled artists for well over a century. With her luminous illustrations, Genevi?ve C?t? weaves a refreshingly modern interpretation of this beloved poem -- one that will enchant readers of all ages.' to 'This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.","""The Lady of Shalott"" is a ballad by the English poet Alfred, Lord Tennyson (1809–1892). Like his other early poems – ""Sir Lancelot and Queen Guinevere"", and ""Galahad"" – the poem recasts Arthurian subject matter loosely based on medieval sources. Tennyson wrote two versions of the poem, one published in 1833, of 20 stanzas, the other in 1842, of 19 stanzas.",,"The award winning artist Charles Keeping, breathes new life into Tennyson's romantic poem. Keeping's evocative pictures tell the story of the lovely maiden, imbowered on her silent isle, grieving with love for bold Sir Lanceleot. The paperback is now reissued with a new cover. This book is intended for age 7+","The award winning artist Charles Keeping, breathes new life into Tennyson's romantic poem. Keeping's evocative pictures tell the story of the lovely maiden, imbowered on her silent isle, grieving with love for bold Sir Lanceleot. The paperback is now reissued with a new cover. This book is intended for age 7+"
